                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2179,                  2.406,                 1.6127,                0.87499,                0.48148,                0.70621,                0.43641,                0.97842,                 3.4422,                 1.5618,             0.00054244,             0.00054244,             0.00054244
                      2,                 1.1916,                 1.8919,                 1.5531,                0.46051,                0.60241,                 0.5693,                0.32774,                 1.1723,                 3.3061,                 1.7436,              0.0010437,              0.0010437,              0.0010437
                      3,                  1.177,                 1.7848,                 1.5694,                0.54405,                0.71977,                0.57273,                0.37183,                  1.014,                 6.3091,                 1.6768,                0.00149,                0.00149,                0.00149
                      4,                 1.2213,                 1.6799,                 1.5621,                0.58334,                0.50139,                0.57207,                0.29722,                 1.2326,                 2.5557,                 1.9888,              0.0014195,              0.0014195,              0.0014195
                      5,                  1.247,                 1.6028,                 1.5853,                0.63714,                0.66089,                0.67536,                0.43356,                   1.01,                 2.2671,                 1.5718,              0.0013369,              0.0013369,              0.0013369
