                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77344,                0.62785,                 1.2106,                0.91138,                 0.9638,                0.96997,                0.79994,                0.60054,                0.43862,                  1.035,             0.00054478,             0.00054478,             0.00054478
                     36,                  0.764,                0.62462,                 1.1987,                 0.9737,                0.95181,                0.98499,                0.81751,                0.55896,                0.45981,                 0.9826,             0.00051177,             0.00051177,             0.00051177
                     37,                0.78007,                0.60862,                 1.2227,                0.93879,                0.95181,                0.97671,                0.82333,                0.54873,                0.44811,                0.96804,             0.00047876,             0.00047876,             0.00047876
                     38,                0.76376,                0.60358,                 1.1919,                0.95776,                0.96386,                0.98122,                0.83006,                 0.5408,                0.42829,                0.95739,             0.00044576,             0.00044576,             0.00044576
                     39,                  0.738,                0.60357,                 1.1896,                0.98661,                 0.9554,                 0.9772,                0.82474,                 0.5573,                0.39997,                 0.9857,             0.00041275,             0.00041275,             0.00041275
                     40,                0.74406,                 0.5801,                 1.1813,                0.97906,                0.93976,                0.97762,                0.81483,                0.54595,                0.37792,                0.97963,             0.00037974,             0.00037974,             0.00037974
                     41,                0.60087,                0.49334,                 1.1708,                0.94513,                0.96988,                0.97704,                0.82715,                0.52546,                0.39577,                 0.9422,             0.00034674,             0.00034674,             0.00034674
                     42,                0.56976,                0.42733,                 1.1349,                0.98751,                0.98193,                0.99185,                0.85508,                0.49776,                0.36773,                 0.8995,             0.00031373,             0.00031373,             0.00031373
                     43,                0.56664,                0.42471,                 1.1107,                0.97607,                0.96649,                0.99072,                0.86896,                0.48846,                0.36314,                0.89417,             0.00028072,             0.00028072,             0.00028072
                     44,                0.54477,                0.39646,                 1.1117,                0.98049,                0.99398,                0.99426,                0.86996,                0.47041,                0.32979,                0.87798,             0.00024772,             0.00024772,             0.00024772
                     45,                0.53857,                0.39269,                 1.1052,                 0.9953,                0.98193,                0.99423,                0.86903,                0.46458,                0.32572,                0.87313,             0.00021471,             0.00021471,             0.00021471
                     46,                0.53114,                0.37082,                 1.0808,                0.97821,                0.99398,                0.99327,                0.87216,                0.45595,                  0.361,                0.85694,              0.0001817,              0.0001817,              0.0001817
                     47,                0.52489,                0.37435,                 1.0851,                 0.9775,                0.99917,                0.99429,                0.87023,                0.46377,                0.32983,                0.85953,              0.0001487,              0.0001487,              0.0001487
                     48,                0.52349,                0.37046,                 1.0933,                0.99668,                0.98795,                0.99454,                0.88648,                0.43743,                0.30689,                0.83971,             0.00011569,             0.00011569,             0.00011569
                     49,                0.50411,                0.34119,                 1.0684,                0.99711,                0.98795,                0.99459,                0.88277,                0.43579,                0.30257,                0.83739,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 0.4964,                0.34036,                 1.0678,                0.99001,                0.98795,                0.99465,                0.88615,                0.43501,                0.30751,                0.83423,             4.9677e-05,             4.9677e-05,             4.9677e-05
